mtry	AUC
2	0.8744999999999999
4	0.8806666666666667
8	0.8829166666666667
17	0.8823333333333333
34	0.8881666666666667
2	0.9108333333333334
4	0.9105
8	0.9048333333333334
17	0.9053333333333333
34	0.9108333333333334
2	0.8568333333333333
4	0.8486666666666667
8	0.8433333333333334
17	0.84925
34	0.84675
2	0.8498333333333333
4	0.8498333333333333
8	0.8491666666666666
17	0.8511666666666666
34	0.849
2	0.9003333333333333
4	0.9016666666666666
8	0.903
17	0.8963333333333333
34	0.8976666666666666
2	0.835
4	0.8398333333333333
8	0.8481666666666666
17	0.8428333333333333
34	0.8509166666666667
2	0.92075
4	0.9166666666666666
8	0.9123333333333333
17	0.9130833333333334
34	0.9111666666666667
2	0.9173333333333333
4	0.91
8	0.9068333333333334
17	0.90525
34	0.9094166666666667
2	0.8711666666666666
4	0.87425
8	0.8765833333333334
17	0.878
34	0.874
2	0.89575
4	0.8996666666666666
8	0.8999166666666667
17	0.9003333333333333
34	0.904
2	0.8440833333333333
4	0.8466666666666667
8	0.84
17	0.8403333333333334
34	0.8408333333333333
2	0.9055
4	0.8991666666666667
8	0.89875
17	0.9013333333333333
34	0.901
2	0.8813333333333333
4	0.8824166666666666
8	0.8814166666666666
17	0.8831666666666667
34	0.8864166666666666
2	0.8496666666666667
4	0.8569166666666667
8	0.8432499999999999
17	0.8496666666666667
34	0.85725
2	0.9293333333333333
4	0.9265
8	0.928
17	0.92975
34	0.9306666666666666
2	0.8813333333333333
4	0.8800833333333333
8	0.8826666666666667
17	0.8880833333333333
34	0.8835833333333333
2	0.9074166666666666
4	0.9145
8	0.91225
17	0.9101666666666667
34	0.90625
2	0.841
4	0.8453333333333334
8	0.847
17	0.8481666666666666
34	0.852
2	0.8640833333333333
4	0.8613333333333333
8	0.8605
17	0.8546666666666667
34	0.8525
2	0.8671666666666666
4	0.8598333333333333
8	0.8673333333333333
17	0.8658333333333333
34	0.866
2	0.87025
4	0.8665
8	0.8695833333333334
17	0.8675
34	0.8636666666666667
2	0.9460833333333333
4	0.9488333333333333
8	0.95
17	0.9526666666666667
34	0.95
2	0.9018333333333334
4	0.8985833333333333
8	0.8965
17	0.8953333333333333
34	0.8946666666666666
2	0.8864166666666666
4	0.8811666666666667
8	0.8868333333333334
17	0.8883333333333333
34	0.8909166666666667
2	0.9048333333333334
4	0.9085
8	0.8975
17	0.8913333333333333
34	0.8911666666666667
2	0.8914166666666666
4	0.8935
8	0.8925833333333333
17	0.8985833333333333
34	0.89675
2	0.9243333333333333
4	0.922
8	0.9186666666666666
17	0.9168333333333333
34	0.9139166666666667
2	0.8793333333333333
