biosphere	depth	nirK	nirS	pmoA	hao	narG/narZ/nxrA	nirH	nosZ	norB	norC	nirA	narB	nasC/nasA	nirB	nirD	soxA	soxB	soxC	sat/met3	aprA	aprB	dsrA	dsrB	mdh	mcrA	mtrA	mer	mch	aprE	nprE	purH	purD	pyrE	pyrF	ndk	gmk	cobS	CobW	folC	bioB	bioD	fabF	fabH	fadA	fadB	aptA	aptG	lysA	thrC	gdhA	adiA
mussel and tubeworm biosphare	0	1.166614571	1.97230692	0.142776562	2.161085038	2.074793284	2.466382326	1.87147997	1.668369291	1.383969731	1.247309779	1.051089124	1.958885599	2.326625501	1.370570394	1.579032029	1.762956039	1.109647683	2.406914764	2.205962446	1.781764521	1.982225179	1.989890362	0	2.087865728	2.164164971	1.6124461	2.001659307	2.234567724	0.640307256	2.442058903	2.391391647	2.054440842	2.426698854	2.217027591	2.129426183	0.985050139	1.570493051	2.226353071	1.986287241	1.741865608	2.651561661	2.499254033	2.108349157	1.154540159	2.361993799	2.209016507	2.689867359	2.638025829	2.494263815	1.140699576
mussel and tubeworm biosphare	15	0.045358056	0.418131833	0	2.017265222	0.42297191	2.623345807	0.473008943	0.322373752	0.17030894	0.351109292	0.315192332	1.121023852	2.262991997	0.724402907	0.062959575	0.196681672	0.149404394	2.395348297	2.156190258	1.785676482	2.059525074	2.047330933	0.236740011	2.365294932	2.233942376	2.079577991	2.448595609	2.371363852	0.06675843	2.613306559	2.698172816	2.491475859	2.50543604	2.2822395	2.111960548	0.063312503	0.575972137	2.305802098	2.232244074	1.849694572	2.714754769	2.565007719	1.257150785	0.06682673	2.484763727	2.340690007	2.694908226	2.799042416	2.524452091	0.492801062
mussel and tubeworm biosphare	30	0.060872367	0.543981677	0	1.716890762	0.406348401	2.688434687	0.430218747	0.338920892	0.236128381	0.142891542	0.190795339	0.816154888	2.244767618	0.919686108	0.327678169	0.414260545	0.070793656	2.281463913	2.175902433	1.837623909	2.140308969	2.023990506	0.175434251	2.428534744	2.213459113	2.08953809	2.426201845	2.193394879	0.024039336	2.626006687	2.715385975	2.492140669	2.470706318	2.296045383	2.119960741	0.328472242	0.162710909	2.277712594	2.15114935	1.634615417	2.625492603	2.560489013	0.862900492	0.336445212	2.525803634	2.326763962	2.705093166	2.82063614	2.512666003	0.724355304
mussel and tubeworm biosphare	0	1.736144292	2.896687373	0.925887178	2.094836757	2.480716641	0.769874081	2.626161025	2.475807139	2.000101577	1.869625737	1.986199751	2.645885222	2.595802356	1.972860972	2.360570394	2.504789234	1.864542831	2.731087613	2.732814153	2.152031275	2.431709204	2.388396073	0	0.429439879	1.040470295	1.669274473	1.257890944	1.846392883	0.546645664	2.619317334	2.55740545	2.361709641	2.355545557	2.05057216	2.297807083	1.481607977	1.753550187	2.477294245	2.365000216	2.167802282	2.769202887	2.667026956	2.139582398	1.270120276	2.689010646	2.526079096	2.575011727	2.669973215	2.672009891	1.504006551
mussel and tubeworm biosphare	15	0.566037828	1.403932628	0.15944495	1.525063492	0.976133907	2.387461622	1.35956751	1.250942974	0.859055052	0.885277646	0.979752354	1.925397229	2.359532026	1.903520613	1.000425523	1.086253271	0.668019673	2.168038635	1.967886423	1.538754073	1.758837542	1.740172292	0	2.027921554	2.264673678	2.076107147	2.102190912	2.263254007	0.295287476	2.631279792	2.549501213	2.468627609	2.399670929	2.318713674	2.242159119	1.641380391	1.92668659	2.309744036	2.262573034	2.00705589	2.651587337	2.626661858	2.210765444	1.846936495	2.464060079	2.352912909	2.568652812	2.720303676	2.558671946	0.601481984
mussel and tubeworm biosphare	30	0.42086392	0.310727912	0.13911555	1.561629458	0.534033948	2.759358159	0.582700244	0.663869698	0.654230392	0.290797577	0.770997288	1.446655458	2.308874209	1.010771292	0.195672738	0.285489184	0.079571771	2.160583426	1.838840302	1.397007241	1.665288574	1.700983675	0.036681904	2.448222607	2.292596141	1.424046165	2.359265058	2.120874766	0.205028892	2.516645648	2.521576091	2.195660883	2.49416975	2.32719148	1.979921761	0.263715733	0.888961063	2.219584943	1.996680118	1.347772211	2.551093987	2.465056611	1.548041437	0.669309535	2.315775901	2.110815547	2.744343575	2.75446866	2.618038023	0.73936372
mussel and tubeworm biosphare	0	1.817367207	2.733665224	0.930231614	2.007827806	2.501174861	1.059032439	2.509740129	2.252113726	1.834799904	1.697053328	1.804568466	2.533660905	2.533123415	1.923868648	2.289650459	2.397454871	1.85136025	2.673518871	2.600042352	2.090951235	2.334249186	2.292044474	0.086061603	1.036754322	0.968932388	1.819508621	1.334757064	1.886156544	0.734869763	2.601327098	2.55357774	2.325597579	2.364892426	2.113553953	2.315621172	1.530100605	1.853508455	2.482626902	2.346015586	2.102929769	2.782044742	2.697197586	2.352119259	1.515861213	2.689063688	2.496702104	2.571173246	2.704565911	2.628237678	1.520564531
mussel and tubeworm biosphare	15	0.404797108	0.592963336	0	2.136738842	0.535632515	2.713277606	0.637287677	0.510981797	0.287775035	0.285160607	0.407657735	1.058128384	2.301762715	0.90272278	0.177072026	0.306446858	0.182881448	2.291571394	1.968850343	1.613981184	1.897382575	1.918814142	0	2.548101288	2.244516907	1.253215856	2.258618653	2.40150455	0.089192102	2.517241658	2.440027959	1.989216779	2.514135247	2.31064271	1.955883904	0.195334853	1.02143291	2.138484065	1.946013661	1.629951513	2.53055545	2.426821847	1.538411222	0.498302574	2.228046309	2.053735128	2.790087117	2.618074185	2.490199653	0.522199621
clam and sea anemone biosphare	0	2.407158676	2.096681552	1.406534351	2.265398341	3.053357203	0.460513739	1.649356621	2.236097942	1.461951384	0.923231377	1.751244394	1.991041982	1.866197927	1.916543247	1.384148553	1.548159116	2.009251906	2.57097111	2.254361125	1.742894202	1.522880387	1.406526191	0	0	1.401515712	2.514119219	1.542240368	1.836731711	0.639653775	2.562467736	2.522989179	2.308883392	2.317532913	2.189925629	2.236650664	1.738957721	1.995285054	2.436486829	2.345789005	2.100003742	2.82433746	2.56384401	2.466018041	0.775497419	2.571867274	2.3919988	2.479922448	2.855651138	2.504516224	1.643287614
clam and sea anemone biosphare	15	2.667667361	1.908097929	1.928016339	2.038955796	2.983210894	0.187893805	1.654734459	2.171485234	1.490654184	1.023467503	1.735907615	2.055503438	1.926411839	2.036471508	1.335092278	1.429495774	2.059132963	2.574455	2.23722168	1.691215348	1.466987514	1.435506825	0.072684196	0	1.825488327	2.510315168	1.413233635	1.856568757	0.605501529	2.467611137	2.542099484	2.359304538	2.33763399	2.218816798	2.167174139	1.69340275	1.956850858	2.340028219	2.343387513	2.153344188	2.691742589	2.555304439	2.406065634	1.462869824	2.513225142	2.301119413	2.412139923	2.885031945	2.533800052	1.844785204
